split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,validation_status,audit_status,status_transition,key_repeats,v_cert,v_amb,successful_key_runs,expected_parameter_failures,unexpected_execution_failures,decision_flips_v_cert,error_violations_v_cert,max_error_v_cert,max_budget_usage_v_cert,mean_total_ms_across_keys
4,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.621243560249,79.8367238415,95.2888292447
4,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,266,4,3,0,0,393,798,0.603053342372,914.76988617,135.142070573
4,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,266,4,0,3,0,0,0,,,
4,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,257,13,3,0,0,381,771,0.561860765103,891.891227356,169.545457568
4,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,257,13,3,0,0,381,771,0.561860765103,891.891227356,136.395879759
4,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.69387790673,17.3499379812,115.196961187
4,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,16,0,0,3,0,0,0,,,
4,iris_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.620427525227,14.3163093422,143.740247687
4,iris_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.620427525227,14.3163093422,100.298875917
4,mnist_pool16,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,245,6,3,0,0,336,735,0.651387421916,840.592002482,208.090504506
4,mnist_pool16,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,245,6,0,3,0,0,0,,,
4,mnist_pool16,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,246,5,3,0,0,366,738,0.579369918286,935.525288537,252.889985222
4,mnist_pool16,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,246,5,3,0,0,366,738,0.579369918286,935.525288537,217.459753656
4,wdbc,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,86,0,3,0,0,171,258,0.583008858199,685.234426473,136.657259066
4,wdbc,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,86,0,0,3,0,0,0,,,
4,wdbc,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,82,4,3,0,0,150,243,0.515519556612,717.175284553,169.667612252
4,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,82,4,3,0,0,150,243,0.515519556612,717.175284553,135.045338547
