dataset_id,model_id,profile,path,requested_runs,ok_runs,failed_runs,accepted_runs,strict_safe,mean_eval_only_ms,std_eval_only_ms,mean_total_ms,std_total_ms,max_decision_flips,sum_decision_flips,max_score_error_violations,sum_score_error_violations,max_y_error
digits_binary,mlp_square_linear_score,scale38,rescale_aware,3,3,0,3,true,130.9015044593,0.0477158888,275.6129626586,0.1571723792,0,0,0,0,0.0000000005
digits_binary,mlp_square_linear_score,scale40,baseline_non_rescale,3,3,0,3,true,112.7026570111,0.1073633828,266.5524656086,0.2845780580,0,0,0,0,0.0000000002
digits_binary,mlp_square_linear_score,scale40,rescale_aware,3,3,0,3,true,130.8909556414,0.1936728411,275.8419901802,0.1007285008,0,0,0,0,0.0000000004
digits_binary,mlp_square_linear_score,scale42,baseline_non_rescale,3,3,0,3,true,112.3539502957,0.2770508325,265.9418064667,0.2586414660,0,0,0,0,0.0000000000
digits_binary,mlp_square_linear_score,scale42,rescale_aware,3,3,0,3,true,131.0160068994,0.3204063468,275.8021863815,0.4727889005,0,0,0,0,0.0000000000
digits_binary,mlp_square_linear_score,short_chain_3,baseline_non_rescale,3,3,0,0,false,47.7369177691,0.1052212301,134.2888260179,0.1431012660,271,813,540,1620,0.5825953151
digits_binary,mlp_square_linear_score,short_chain_3,rescale_aware,3,3,0,0,false,51.0850768975,0.2397341387,109.1085405710,0.3126995654,271,813,540,1620,0.5825953151
digits_binary,mlp_square_linear_score,short_chain_5,baseline_non_rescale,3,3,0,0,false,78.5521674821,0.2085364491,198.1407839426,0.4815366612,271,813,540,1620,0.5825953270
digits_binary,mlp_square_linear_score,short_chain_5,rescale_aware,3,3,0,0,false,89.6012368494,0.0609283778,201.0430700747,0.1119917811,271,813,540,1620,0.5825953095
digits_binary,mlp_square_linear_score,short_chain_6_scale38,baseline_non_rescale,3,3,0,3,true,89.4659351241,0.0667085098,227.2774742006,0.2947294735,0,0,0,0,0.0000000009
digits_binary,mlp_square_linear_score,short_chain_6_scale38,rescale_aware,3,3,0,3,true,104.7460348599,0.1688989068,233.2144239599,0.2876115709,0,0,0,0,0.0000000007
digits_binary,mlp_square_linear_score,short_chain_6_scale40,baseline_non_rescale,3,3,0,3,true,89.6171180864,0.0723558875,227.4335365895,0.0464021657,0,0,0,0,0.0000000004
digits_binary,mlp_square_linear_score,short_chain_6_scale40,rescale_aware,3,3,0,3,true,104.8383789611,0.1108070508,233.3846027876,0.2145822352,0,0,0,0,0.0000000001
digits_binary,mlp_square_linear_score,short_chain_6_scale42,baseline_non_rescale,3,3,0,3,true,89.4233067469,0.0924190609,227.3819134975,0.2263535059,0,0,0,0,0.0000000001
digits_binary,mlp_square_linear_score,short_chain_6_scale42,rescale_aware,3,3,0,3,true,104.7995721228,0.1967827508,233.4757287259,0.3152295884,0,0,0,0,0.0000000000
iris_binary,linear_poly3,deep_chain_8_scale45,baseline_non_rescale,3,3,0,3,true,108.2512604556,0.6831130939,332.1908992111,1.8361554925,0,0,0,0,0.0000000000
iris_binary,linear_poly3,deep_chain_8_scale45,rescale_aware,3,3,0,3,true,107.8153355222,0.1571122301,309.9667233000,0.0810123810,0,0,0,0,0.0000000000
iris_binary,linear_poly3,deep_chain_9_scale45,baseline_non_rescale,3,3,0,3,true,135.7480977667,1.5742258313,382.4957821889,2.7198793927,0,0,0,0,0.0000000000
iris_binary,linear_poly3,deep_chain_9_scale45,rescale_aware,3,3,0,3,true,141.6444952778,0.4308676023,365.7889650444,1.2073006365,0,0,0,0,0.0000000001
iris_binary,linear_poly3,default,baseline_non_rescale,3,3,0,3,true,47.5397128555,0.4680723839,148.2686028556,2.5084540707,0,0,0,0,0.0000000000
iris_binary,linear_poly3,default,rescale_aware,3,3,0,3,true,42.6516326556,0.2622959500,120.0277993778,0.0515571395,0,0,0,0,0.0000002079
iris_binary,linear_poly3,scale38,baseline_non_rescale,3,3,0,3,true,46.5147535333,0.2428374538,144.4913716889,1.6502570726,0,0,0,0,0.0000000018
iris_binary,linear_poly3,scale38,rescale_aware,3,3,0,3,true,47.9920673333,0.5146852392,134.9391833333,1.2693699493,0,0,0,0,0.0000000017
iris_binary,linear_poly3,scale40,baseline_non_rescale,3,3,0,3,true,47.0179171555,0.5463068360,144.9551540333,1.0502705392,0,0,0,0,0.0000000007
iris_binary,linear_poly3,scale40,rescale_aware,3,3,0,3,true,49.2187673334,0.5194930686,139.9551286445,2.3385826641,0,0,0,0,0.0000000004
iris_binary,linear_poly3,scale42,baseline_non_rescale,3,3,0,3,true,47.6069560333,0.9273741641,148.3682546556,2.6687557411,0,0,0,0,0.0000000001
iris_binary,linear_poly3,scale42,rescale_aware,3,3,0,3,true,48.8638787445,1.3446379549,137.6896283000,2.8229968107,0,0,0,0,0.0000000002
iris_binary,linear_poly3,short_chain_3,baseline_non_rescale,3,3,0,0,false,19.5603677334,0.0994449253,76.1229260000,0.1878997719,15,45,30,90,0.6938779067
iris_binary,linear_poly3,short_chain_3,rescale_aware,6,0,6,0,false,,0.0000000000,,0.0000000000,,,,,
iris_binary,linear_poly3,short_chain_5,baseline_non_rescale,3,3,0,0,false,32.2243776444,0.2895987517,109.2399862222,0.5939024205,15,45,30,90,0.6938779067
iris_binary,linear_poly3,short_chain_5,rescale_aware,6,0,6,0,false,,0.0000000000,,0.0000000000,,,,,
iris_binary,linear_poly3,short_chain_6_scale38,baseline_non_rescale,3,3,0,0,false,36.7921043667,0.2648313852,125.3254916556,0.7540178043,15,45,30,90,0.6938479022
iris_binary,linear_poly3,short_chain_6_scale38,rescale_aware,3,3,0,0,false,37.0971738444,0.4635098159,109.5817295222,5.6618429360,15,45,30,90,0.6938477846
iris_binary,linear_poly3,short_chain_6_scale40,baseline_non_rescale,3,3,0,0,false,37.0901741111,0.1856115476,125.6708574333,0.2711999615,15,45,30,90,0.6938774659
iris_binary,linear_poly3,short_chain_6_scale40,rescale_aware,3,3,0,0,false,36.8485714667,0.4691898755,105.6230395556,0.5375940128,15,45,30,90,0.6938783017
iris_binary,linear_poly3,short_chain_6_scale42,baseline_non_rescale,3,3,0,0,false,36.8891395444,0.3948960995,125.0950714889,0.9017548837,15,45,30,90,0.6938779128
iris_binary,linear_poly3,short_chain_6_scale42,rescale_aware,3,3,0,0,false,36.6248687222,0.3970164545,105.2952479222,0.3690859032,15,45,30,90,0.6938778995
iris_binary,mlp_square_linear_score,deep_chain_8_scale45,baseline_non_rescale,3,3,0,3,true,233.6876328889,1.2276301092,458.8313362889,1.5057138345,0,0,0,0,0.0000000000
iris_binary,mlp_square_linear_score,deep_chain_8_scale45,rescale_aware,3,3,0,3,true,276.4153232000,1.6758235379,473.1284442111,2.4559868403,0,0,0,0,0.0000000000
iris_binary,mlp_square_linear_score,deep_chain_9_scale45,baseline_non_rescale,3,3,0,3,true,289.9423229333,1.7906983054,539.0249336556,1.2617755962,0,0,0,0,0.0000000000
iris_binary,mlp_square_linear_score,deep_chain_9_scale45,rescale_aware,3,3,0,3,true,342.2684967000,1.4973700631,575.7732015667,1.1728663374,0,0,0,0,0.0000000000
iris_binary,mlp_square_linear_score,default,baseline_non_rescale,3,3,0,3,true,101.2732360000,0.4373958098,199.9939995222,0.8117533763,0,0,0,0,0.0000000000
iris_binary,mlp_square_linear_score,default,rescale_aware,3,3,0,3,true,118.0713039778,0.7457202899,203.9389725333,0.6238322244,0,0,0,0,0.0000000000
iris_binary,mlp_square_linear_score,scale38,baseline_non_rescale,3,3,0,3,true,101.1362820444,0.5207147101,199.9656396333,1.5957342978,0,0,0,0,0.0000000044
iris_binary,mlp_square_linear_score,scale38,rescale_aware,3,3,0,3,true,119.9001240222,0.8172726656,210.8777787000,1.7515178751,0,0,0,0,0.0000000016
iris_binary,mlp_square_linear_score,scale40,baseline_non_rescale,3,3,0,3,true,101.2092249556,0.7907978847,199.3675485889,0.9455153914,0,0,0,0,0.0000000004
iris_binary,mlp_square_linear_score,scale40,rescale_aware,3,3,0,3,true,119.9286135444,1.2437573188,210.6150691000,1.8196887973,0,0,0,0,0.0000000005
iris_binary,mlp_square_linear_score,scale42,baseline_non_rescale,3,3,0,3,true,101.1375564333,0.6116393218,199.4514833889,1.1660316036,0,0,0,0,0.0000000001
iris_binary,mlp_square_linear_score,scale42,rescale_aware,3,3,0,3,true,119.5554413000,0.9649129934,210.6533873333,2.4723973876,0,0,0,0,0.0000000002
iris_binary,mlp_square_linear_score,short_chain_3,baseline_non_rescale,3,3,0,0,false,42.8732288222,0.3655956459,100.2276764333,0.5009697858,15,45,30,90,0.6451233846
iris_binary,mlp_square_linear_score,short_chain_3,rescale_aware,3,3,0,0,false,45.7630319778,0.5842600809,75.5770293111,0.6612787416,15,45,30,90,0.6451233846
iris_binary,mlp_square_linear_score,short_chain_5,baseline_non_rescale,3,3,0,0,false,70.0080065222,0.5080123814,147.1783569889,0.9640552903,15,45,30,90,0.6451233948
iris_binary,mlp_square_linear_score,short_chain_5,rescale_aware,3,3,0,0,false,81.3229186111,0.4385394804,151.3000741889,0.6113800604,15,45,30,90,0.6451233917
iris_binary,mlp_square_linear_score,short_chain_6_scale38,baseline_non_rescale,3,3,0,3,true,80.4627087778,1.1405743263,169.6200500444,1.9473920796,0,0,0,0,0.0000000011
iris_binary,mlp_square_linear_score,short_chain_6_scale38,rescale_aware,3,3,0,3,true,95.0378907667,0.1499134636,175.6436196111,0.2401153185,0,0,0,0,0.0000000037
iris_binary,mlp_square_linear_score,short_chain_6_scale40,baseline_non_rescale,3,3,0,3,true,80.2543371889,0.4848031386,169.4265257111,0.9965245036,0,0,0,0,0.0000000006
iris_binary,mlp_square_linear_score,short_chain_6_scale40,rescale_aware,3,3,0,3,true,95.2213715222,0.0782664801,175.5867342111,0.1387415756,0,0,0,0,0.0000000005
iris_binary,mlp_square_linear_score,short_chain_6_scale42,baseline_non_rescale,3,3,0,3,true,79.8350852222,0.7166337487,169.0974644667,1.0306745484,0,0,0,0,0.0000000001
iris_binary,mlp_square_linear_score,short_chain_6_scale42,rescale_aware,3,3,0,3,true,94.6726905778,0.6252624910,175.1255493889,0.0488909980,0,0,0,0,0.0000000001
wdbc,linear_poly3,deep_chain_8_scale45,baseline_non_rescale,3,3,0,3,true,134.5441758519,0.8886618402,529.1837953372,1.8637440336,0,0,0,0,0.0000000000
wdbc,linear_poly3,deep_chain_8_scale45,rescale_aware,3,3,0,3,true,132.6836520916,0.6073344096,503.3913982904,2.7916614508,0,0,0,0,0.0000000000
wdbc,linear_poly3,deep_chain_9_scale45,baseline_non_rescale,3,3,0,3,true,164.5080617622,0.9431668349,602.9304249221,2.0723414432,0,0,0,0,0.0000000000
wdbc,linear_poly3,deep_chain_9_scale45,rescale_aware,3,3,0,3,true,171.7147851345,0.0857426575,581.6800926101,0.0550277402,0,0,0,0,0.0000000000
wdbc,linear_poly3,default,baseline_non_rescale,3,3,0,3,true,52.2001928012,2.0535914806,209.4222634094,6.8415128283,0,0,0,0,0.0000000000
wdbc,linear_poly3,default,rescale_aware,3,3,0,3,true,47.1765821287,2.4467741191,182.7130509376,8.0077167165,0,0,0,0,0.0000002080
wdbc,linear_poly3,scale38,baseline_non_rescale,3,3,0,3,true,57.1429569727,0.4242437812,227.1274404094,0.3309563123,0,0,0,0,0.0000000007
wdbc,linear_poly3,scale38,rescale_aware,3,3,0,3,true,57.6891280156,0.0853703767,214.5006408967,0.2317159519,0,0,0,0,0.0000000010
wdbc,linear_poly3,scale40,baseline_non_rescale,3,3,0,3,true,52.0944505692,0.6142495577,208.7835309766,2.1367798304,0,0,0,0,0.0000000003
wdbc,linear_poly3,scale40,rescale_aware,3,3,0,3,true,53.7837532768,2.5205760050,200.7614147758,8.4378713856,0,0,0,0,0.0000000003
wdbc,linear_poly3,scale42,baseline_non_rescale,3,3,0,3,true,53.2919310195,1.7639840472,213.0492549103,5.8336555496,0,0,0,0,0.0000000001
wdbc,linear_poly3,scale42,rescale_aware,3,3,0,3,true,51.5075417329,0.5004652227,193.8348760117,1.6543634571,0,0,0,0,0.0000000001
wdbc,linear_poly3,short_chain_3,baseline_non_rescale,3,3,0,0,false,23.7454896121,0.2458432090,118.0030513119,1.1564196821,111,333,171,513,0.5850547030
wdbc,linear_poly3,short_chain_3,rescale_aware,6,0,6,0,false,,0.0000000000,,0.0000000000,,,,,
wdbc,linear_poly3,short_chain_5,baseline_non_rescale,3,3,0,0,false,39.5782945673,0.1016714096,171.4846377407,0.4663797316,111,333,171,513,0.5850547030
wdbc,linear_poly3,short_chain_5,rescale_aware,6,0,6,0,false,,0.0000000000,,0.0000000000,,,,,
wdbc,linear_poly3,short_chain_6_scale38,baseline_non_rescale,3,3,0,0,false,45.5269882749,0.3793309806,198.1190043080,1.0099706532,111,333,171,513,0.5850832152
wdbc,linear_poly3,short_chain_6_scale38,rescale_aware,3,3,0,0,false,44.2817811852,0.0844676114,174.0502074464,0.5534956632,111,333,171,513,0.5850831162
wdbc,linear_poly3,short_chain_6_scale40,baseline_non_rescale,3,3,0,0,false,45.4304885146,0.2330748895,197.8806709630,0.9838069472,111,333,171,513,0.5850546047
wdbc,linear_poly3,short_chain_6_scale40,rescale_aware,3,3,0,0,false,44.3791594132,0.7692125398,173.4087586667,2.2567385396,111,333,171,513,0.5850545055
wdbc,linear_poly3,short_chain_6_scale42,baseline_non_rescale,3,3,0,0,false,45.5300591657,0.2825597764,198.1473493801,0.4091597405,111,333,171,513,0.5850547090
wdbc,linear_poly3,short_chain_6_scale42,rescale_aware,3,3,0,0,false,44.6096593490,0.4275987783,175.1320316920,0.4101997151,111,333,171,513,0.5850546992
wdbc,mlp_square_linear_score,deep_chain_8_scale45,baseline_non_rescale,3,3,0,3,true,288.3406111657,8.5433084661,668.4478160916,18.0313506546,0,0,0,0,0.0000000000
