split_seed,dataset_id,model_id,workload_id,id,role,candidate_id,profile_name,evaluation_mode,log_n,log_q,log_p,log_default_scale,setup_ms,arm_id,observations,decision_flips,max_y_error,mean_total_ms,median_total_ms,p95_total_ms,stddev_total_ms,iqr_total_ms,mean_eval_only_ms,median_eval_only_ms,p95_eval_only_ms,stddev_eval_only_ms,iqr_eval_only_ms
2,digits_binary,mlp_square_linear_score,split_seed_2/digits_binary/mlp_square_linear_score,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,164.134516,reference,36,0,4.18687307046639e-12,849.8924891111113,838.684955,952.352779,71.54993059743408,79.81884100000002,428.3257568888889,416.598215,521.7638780000001,54.92195157186409,37.049950999999965
2,iris_binary,linear_poly3,split_seed_2/iris_binary/linear_poly3,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q7_S20_c4b82febb405,synth_analysis_minimum_rescale_N13_Q7_S20_c4b82febb405,rescale,13,"[23, 20, 20, 20, 20, 20, 20]",[30],20,84.885279,direct,36,0,0.013626390912085007,76.489852,74.263531,100.062401,11.116932648258704,12.477459999999994,30.37951122222222,29.453899,43.869638,5.346183381552807,5.642327999999999
2,iris_binary,linear_poly3,split_seed_2/iris_binary/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,211.695216,catalog,36,0,1.7283952047364437e-12,415.18303725,397.677422,518.407074,92.24620295663877,57.482868999999994,150.2841698888889,136.828193,201.32896200000002,46.08117392397701,22.764876000000015
2,iris_binary,linear_poly3,split_seed_2/iris_binary/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,181.983868,reference,36,0,3.0923485994094335e-11,406.1961526111111,391.288257,479.621172,42.34986783261426,23.770033999999953,143.66528558333334,139.397104,182.434208,17.087363747434896,17.68271299999998
2,iris_binary,mlp_square_linear_score,split_seed_2/iris_binary/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_dc1a3cbfb69d,synth_analysis_minimum_rescale_N13_Q6_S20_dc1a3cbfb69d,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,46.003827,direct,36,0,8.582533804857295e-05,136.1132844444445,127.566832,185.571471,24.470625273753125,37.61268100000001,84.15137666666665,80.48017700000001,129.421888,16.71987001142787,16.663916
2,iris_binary,mlp_square_linear_score,split_seed_2/iris_binary/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale40,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",40,60.711449,catalog,36,0,3.1110380938059734e-10,255.35593091666664,249.700222,290.13522,43.11547560460617,29.311306000000002,118.92261041666666,116.957392,141.476846,14.712638113378583,23.86570900000001
2,iris_binary,mlp_square_linear_score,split_seed_2/iris_binary/mlp_square_linear_score,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,175.097124,reference,36,0,3.065481202213505e-11,714.6746740277777,707.031875,880.951268,72.15562525880863,74.86850099999992,421.32998477777767,414.232171,539.459943,59.12925984085326,60.38251100000002
2,mnist_pool16,linear_poly3,split_seed_2/mnist_pool16/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_be96916cb331,synth_repair_scale_1_rescale_N13_Q7_S24_be96916cb331,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,125.219357,direct,36,0,0.0026016479198697207,197.15350591666666,192.145253,246.599363,23.612760973557425,34.378105000000005,40.77582508333333,37.671354,57.401222,8.961670861740428,10.121355000000001
2,mnist_pool16,linear_poly3,split_seed_2/mnist_pool16/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,440.038088,catalog,36,0,1.9110601989780207e-11,992.6736990277778,960.442716,1197.0623,140.65180019114177,99.003378,180.34138422222225,178.91933699999998,223.84425299999998,22.36543726820076,24.55937
2,mnist_pool16,linear_poly3,split_seed_2/mnist_pool16/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,378.352557,reference,36,0,5.411671111232863e-12,985.4619229166666,968.540338,1174.650021,88.28792244821076,96.82778000000008,180.28620919444444,176.646612,214.850618,24.96665805611179,24.791799999999995
