population,split_seed,dataset_id,model_id,stage,candidate_id,status,margin,absolute_error,margin_utilization_ratio,margin_utilization_cap,reserved_margin_fraction,operational_acceptance_budget,observed_decision_preserved,reserve_policy_pass,policy_reject_without_flip,minimum_cap_required,decision_flips,error_violations,observation_binding,source_sha256
confirmatory_seeds1_4,2,mnist_pool16,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_88d5d5e14224,SAFE,0.0010423414147401888,0.00022144813919749984,0.14740742601193377,0.5,0.5,0.0005211707073700944,True,True,False,0.14740742601193377,0,0,aggregate_extrema_not_sample_bound,sha256:ee554d962231a40cb2a82c531f469c89f1de9f4e43173a2a65262cfe15161d01
confirmatory_seeds1_4,2,wdbc,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_5a043e5c51af,SAFE,0.0014837839595173707,0.008829188373273733,0.09888756781092334,0.5,0.5,0.0007418919797586854,True,True,False,0.09888756781092334,0,0,aggregate_extrema_not_sample_bound,sha256:cc1db08a326a8b4109040cade2549ecd2337e838e67a31b19534760efd6a448b
confirmatory_seeds1_4,2,wdbc,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_5a043e5c51af,SAFE,0.001463626481787328,0.013495775933959397,0.15907564552751566,0.5,0.5,0.000731813240893664,True,True,False,0.15907564552751566,0,0,aggregate_extrema_not_sample_bound,sha256:a5d814f1a1b9ff4f1cc1727af1084aedf4d99db661175052e8a17fbd3d32cd77
confirmatory_seeds1_4,2,wdbc,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_67109d0703c5,SAFE,0.0012942465398142478,0.0011569811050366752,0.05469234345705932,0.5,0.5,0.0006471232699071239,True,True,False,0.05469234345705932,0,0,aggregate_extrema_not_sample_bound,sha256:1cc52fe24ada36e91d51156dabbe1de3baf65b00bf90198d7abf8b3700eee912
confirmatory_seeds1_4,2,wdbc,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_67109d0703c5,SAFE,0.0013982586108370887,0.00021383565752025602,0.03942034960796682,0.5,0.5,0.0006991293054185443,True,True,False,0.03942034960796682,0,0,aggregate_extrema_not_sample_bound,sha256:b9a7d96f67dfb3f08317915a5507520b460b2da559c643dbe42ae7961e123f71
confirmatory_seeds1_4,3,banknote,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_56aff076a560,SAFE,0.004312115264032301,0.007656574872591471,0.07411818196818337,0.5,0.5,0.0021560576320161506,True,True,False,0.07411818196818337,0,0,aggregate_extrema_not_sample_bound,sha256:4ffa3371fc37e65366c003acde1af04a822819907785dfd01ef96aceb02ef6ae
confirmatory_seeds1_4,3,banknote,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_56aff076a560,SAFE,0.004312115264032301,0.007623509039576981,0.08687643464736189,0.5,0.5,0.0021560576320161506,True,True,False,0.08687643464736189,0,0,aggregate_extrema_not_sample_bound,sha256:6cce9668cac309cf733113ddf6b6e99b4f92455ce7de7b351099fc2699e746bb
confirmatory_seeds1_4,3,banknote,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_2c2da9a3eae1,SAFE,0.013947781713503082,0.0005532154368558251,0.029728498380295725,0.5,0.5,0.006973890856751541,True,True,False,0.029728498380295725,0,0,aggregate_extrema_not_sample_bound,sha256:c5387a66f6c625807ab64bcc1834c94bb24433366941314535fdbce16f7004c8
confirmatory_seeds1_4,3,banknote,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_2c2da9a3eae1,SAFE,0.012219452991614865,0.000600511324573727,0.03031935184565785,0.5,0.5,0.006109726495807433,True,True,False,0.03031935184565785,0,0,aggregate_extrema_not_sample_bound,sha256:60ed20c5f927e893f2e929efd6a5e737bae4e0d221e611961d43ee0d4eb22df7
confirmatory_seeds1_4,3,digits_binary,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_9887de80bbf2,SAFE,0.0012807856058005274,0.00515156078428225,0.1381034314355968,0.5,0.5,0.0006403928029002637,True,True,False,0.1381034314355968,0,0,aggregate_extrema_not_sample_bound,sha256:92d4e2ea8defc35cda5fb5e2222e98496d927c27fb4768b2cf14cbd202c684bd
