split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,alpha,certificate_status,run_status,exit_code,sample_count,v_cert,v_amb,coverage_rate,margin_floor,decision_flips_v_cert,error_violations_v_cert,max_y_error_v_cert,mean_total_ms,median_total_ms,p95_total_ms,mean_eval_only_ms,run_tag
3,iris_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6451233846,120.9268962857,117.126414,146.27738565,49.7844447857,thesisv1_full_seed3_iris_binary_mlp_square_linear_score_short_chain_3_baseline_non_rescale
3,iris_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6451233846,90.7220444286,88.8573085,108.9360947,55.0969477143,thesisv1_full_seed3_iris_binary_mlp_square_linear_score_short_chain_3_rescale_aware
3,mnist_pool16,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,249,243,6,0.9759036144578314,0.001,109,243,0.6513874219,281.3686704819,261.766717,434.8660306,41.8657555542,thesisv1_full_seed3_mnist_pool16_linear_poly3_short_chain_3_baseline_non_rescale
3,mnist_pool16,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,249,243,6,0.9759036144578314,0.001,,,,,,,,thesisv1_full_seed3_mnist_pool16_linear_poly3_short_chain_3_rescale_aware
3,mnist_pool16,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,249,248,1,0.9959839357429718,0.001,116,248,0.6241065408,266.9133271526,256.431871,340.0897642,77.8427636466,thesisv1_full_seed3_mnist_pool16_mlp_square_linear_score_short_chain_3_baseline_non_rescale
3,mnist_pool16,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,249,248,1,0.9959839357429718,0.001,116,248,0.6241065408,231.452453249,223.013135,284.9184902,81.5294793253,thesisv1_full_seed3_mnist_pool16_mlp_square_linear_score_short_chain_3_rescale_aware
3,wdbc,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,85,84,1,0.9882352941176471,0.001,55,84,0.585054703,143.3701452,135.890533,185.6965054,28.5557687059,thesisv1_full_seed3_wdbc_linear_poly3_short_chain_3_baseline_non_rescale
3,wdbc,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,85,84,1,0.9882352941176471,0.001,,,,,,,,thesisv1_full_seed3_wdbc_linear_poly3_short_chain_3_rescale_aware
3,wdbc,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,85,81,4,0.9529411764705882,0.001,51,81,0.5182910782,188.7944897647,175.565043,246.3814646,69.2190916235,thesisv1_full_seed3_wdbc_mlp_square_linear_score_short_chain_3_baseline_non_rescale
3,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,85,81,4,0.9529411764705882,0.001,51,81,0.5182910782,148.4085936588,141.65775,189.8812766,70.7152645529,thesisv1_full_seed3_wdbc_mlp_square_linear_score_short_chain_3_rescale_aware
4,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,94,205,0.6105700009,105.737973478,99.3903,141.5252956,27.183596961,thesisv1_full_seed4_banknote_linear_poly3_short_chain_3_baseline_non_rescale
4,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,205,205,0,1.0,0.001,,,,,,,,thesisv1_full_seed4_banknote_linear_poly3_short_chain_3_rescale_aware
4,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6053036968,137.9428187317,130.62974,180.5441466,58.7799393073,thesisv1_full_seed4_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale
4,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6053036968,102.2445515756,95.327195,135.9748008,62.6736354341,thesisv1_full_seed4_banknote_mlp_square_linear_score_short_chain_3_rescale_aware
